LON,LAT,EDO,CLAVE,ESTACION,nov-19
-93.458611,17.446111,CHIS,PENCP,"�ngel Albino Corzo, Chis.",601.2
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",2.4
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",145
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",0.9
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",9
-93.552778,17.348333,CHIS,RCACP,"R�mulo Calzada, Chis.",258.6
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",1.6
-93.079167,16.158333,CHIS,REVCP,"Revoluci�n Mexicana, Chis.",0
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",182
-92.332778,17.56,CHIS,SALTODEAGUA,"Salto de Agua, Chis. SGT*",168.1
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa Luc�a, Chis. SGT*",10
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",643.2
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Crist�bal, Chis.",5.1
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San Crist�bal Caba�as), Chis.",5.8
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",2.4
-93.1,16.786111,CHIS,SECTEC103,"Secundaria T�cnica 103, Chis. SGT*",0.4
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria T�cnica 59, Chis. SGT*",0.2
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",58.2
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",75
-92.916667,17.5,CHIS,SJOTB,"San Joaqu�n, Chis.",331.5
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",6.8
-92.820833,16.938889,CHIS,SNACP,"Santa Mar�a, Chis.",171.9
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SMN*",16.3
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",31
-92.296389,14.886944,CHIS,TAPACHULAob,"Observatorio de Tapachula, Chis. SMN*",14.8
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",19.3
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",233.6
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",1
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",0.1
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",1.9
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla Guti�rrez, Chis. SMN*",4.4
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Guti�rrez, Chis.",4.7
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla Guti�rrez Zoomat, Chis.",2.1
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",0.5
-93.330556,17.116667,CHIS,YAMCP,"Yamonh�, Chis.",203.1
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",17.3
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",6
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",19.5
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",13
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ci�negas, Coah.",46.1
-100.950278,29.327778,COAH,CDACL,"Ciudad Acu�a, Coah.",16
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",38
-100.911944,28.598889,COAH,CEXPZARAGOZA,"Campo Experimental Zaragoza, Coah. INIFAP*",21.2
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",18
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",17.7
-102.39,27.335556,COAH,EJIDOOC,"Ejido Ocampo, Coah. INIFAP*",37.8
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",3.9
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",23
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas, Ciudad Acu�a CILA, Coah.",13.4
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",1.3
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",14
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",48.6
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M�zquiz, Coah. SMN*",25
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",12.3
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",1
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",22.5
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",33
-100.770278,25.203611,COAH,RGUADALUPE,"Rancho Guadalupe, Coah. INIFAP*",25.8
-100.556944,28.667778,COAH,RIOESCONDIDOC,"R�o Escondido Villa De Fuentes, Coah. CILA*",5
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",6.8
-102.017778,26.805278,COAH,RPRONATURA,"Rancho Pronatura, Coah. INIFAP*",49.8
-100.325833,28.289722,COAH,RSANTAELENA,"Rancho Santa Elena, Coah. INIFAP*",10.2
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",14
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",3
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",4.6
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",11
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",11.6
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",14
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",11
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",30.2
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",28.6
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",1.5
-103.45,25.541667,COAH,TORCL,"Observatorio de Torre�n, Coah.",25.4
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torre�n, Coah. SMN*",16
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",29.4
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",30
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",11
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",39.5
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",10.9
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",23
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",20
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",81.2
-103.804167,19.2125,COL,CQMCM,"Coquimatl�n, Col.",22.4
-103.6,19.325,COL,CUACM,"Cuauht�moc, Col.",29.1
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",9.9
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",111.3
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",4.3
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",25.6
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",9
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",12.4
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",11.2
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",10.6
-103.816667,19.266667,COL,PNTCM,"Pe�itas, Col.",23
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",8.1
-103.700833,19.408333,COL,SCHCM,"Suchitl�n, Col.",0.5
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl�n 1, Col. SMN*",21.8
-103.882778,18.925556,COL,TCMCM,"Tecom�n, Col.",10
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",24.5
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",12
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de M�x. UNAM*",20.9
-99.099722,19.379167,DF,ACULCO,"Planta de bombeo Aculco, Cd. de M�x. SACMEX*",30.7
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de M�x.",9.7
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de M�x. UNAM*",39.3
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de M�x. SACMEX*",9.7
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de M�x. UNAM*",34.5
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de M�x. UNAM*",45.3
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de M�x. UNAM*",49.5
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de M�x. SACMEX*",15.5
-98.998056,19.356111,DF,CARCELMUJERES,"C�rcel de Mujeres, Cd. de M�x. SACMEX*",21.1
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biol�gicas IPN, Cd. de M�x. SMN*",28.4
-99.059722,19.383889,DF,CCHOTE,"CCH Oriente, Cd. de M�x. UNAM*",13.6
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de M�x. UNAM*",21.2
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de M�x.",1.3
-99.082222,19.408611,DF,CDEPORTIVA,"Ciudad Deportiva, Cd. de M�x. SACMEX*",38.6
-98.999444,19.357222,DF,CDMDF,"C�rcel de Mujeres, Cd. de M�x.",21.1
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de M�x.",62.2
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de M�x.",10.7
-99.196111,19.311667,DF,CENAPRED,"Centro de Ciencias de la Atm�sfera CENAPRED, Cd. de M�x SMN*",14
